"sc-hKgILt","sc-hKgILt 3","sc-hKgILt 4","sc-hKgILt 5"
"پویا","۵","پیتزا فیتکس مرغ و شوید بسیار تند!","سیب زمینی سرخ شده"
"زهرا","۵","خیلی عالی بود 
و ممنون از آقای ابراهیمی بابت سرعت زیادشون در رساندن غذا","پیتزا مخلوط ۳۰ سانتی متری"
"مهدی","۵","پیک اقای ابراهیمی رفتارشون خوب بود","کمبو شیلا"
"نهال","۵","خوب بود","چیز برگر"
"سرینه","۱","برگر کریپسی تند بود","چیز برگر"
"elaheh","۴","حجم کم غذا","پاسترونی گوشت و پنیر"
"نگین","۵","واقعا عالي بود   ممنونم     فقط تايم ارسال  طولاني بود","فرش هات برگر"
"روشنک","۵","ممنون از پرسنل متعهد و خوب شیلا. به خصوص آقای ابراهیمی که با انرژی خوبشون سفارش رو به ما خیلی زود رسوندند.","سالاد سزار با مرغ گریل"
"mina","۵","غذا خیلی سریع و گرم تحویل داده شد و خیلی خوشمزه بود ممنونم از شیلا","پیتزا فیتکس مخلوط ۱۰*۲۳ سانتی متری"
"سهیل","۳","کیفیت غذا بد نبود ولی نوشابه هایی که تو سفارشم بود رو نیاوردن","پیتزا رست بیف ۳۰ سانتی متری"
"ساره","۱","پیک عالی و مودب بود و یفارش به موقع رسید ولی کیفیت غذا بسایر پایین بود فیله های خسک بودند وحجم غذا کلا کم شده از شیلا انتظار نداشتم","چیکن استریپس"
"سارا","۵","شیلا همیشه ثابت کرده که کیفیت رو فدای هیچ چیز نمیکنه، مخصوصا هات داگ هاش، ممنون ازتون","ساندویچ هات داگ با پنیر گودا"
"امیدرضا","۵","مثل همیشه داغ و عالی تشکر از شیلا","پیتزا چیکن استروگانف ۲۳ سانتی"
"Elham","۵","غذا داغ داغ به دستم رسید
طعم غذا هم عالی بود
درکنار همه نکات مثبت برخورد فوق العاده پیک رستوران آقای ابراهیمی هم باید اضافه کرد 
خیلی خوش برخورد بودن","پیتزا پپرونی ۳۰ سانتی متری"
"کتایون","۵","خوشمزه و داغ، پیک سریع رسید","پیتزا اسپشیال پلاس ۳۰ سانتی متری"
"مونا","۵","به موقع، گرم و باکیفیت","فیتکس قارچ و گوشت ۱۰*۲۳ سانتی متری"
"میترا","۵","غذا خوب بود و پیک هم آقای ابراهیمی خیلی م
سر وقت سفارشات رو رساندن","نان سیر"
"مریم","۳","در ظرف باز شده بود و ریخته شده بود در نایلون","سالاد سزار با مرغ سوخاری پنیری"
"Hani","۱","هرگز پیشنهاد نمیکنمم","استرامبولی استیک پنیری"
"شیرین","۱","لطفاً بذارید غذا از گلوی ما بره پایین بعد زنگ بزنید! من کاملاً مطمئنم بیشتر از ۵ بار گوشزد کردم ولی باز تماس میگیرن.","استرامبولی استیک پنیری"
"نسیم","۴","به توضیحات توجه نشد بابت سس","پیتزا اسپینا چیکن ۲۳ سانتی متری"
"رضا","۳","سلام طعم ساندویج خوب بود ولی خبری از  پیاز و جعفری تو ساندویچ نبود","ساندویچ هات داگ مرگز با قارچ و پنیر"
"ستاره","۱","چند ساله از شیلا خرید می کنیم،
این دفعه استیک شیلا شبیه کتلت با گوشت چرخکرده بسیار نا مطلوب بود. 
در تماس تلفنی رفتارشون عالی بود.","استرامبولی استیک پنیری"
