sc-hKgILt,sc-hKgILt 3,sc-hKgILt 4,sc-hKgILt 5
حمیدرضا,۵,ارسال سریع,پیتزا میکس کالزون (آمریکایی)
مژ,۵,خیلی خوب و حرفه‌ای و خوشمزه! دم همه اونایی که اونجا کار میکنن گرم. مخصوصا کسی که سس پنیر هم برام فرستاد,پیتزا سبزیجات (ایتالیایی)
زهرا,۱,سیب زمینی مونده و بی کیفیت. دیگه از شما خرید نخواهم کرد,قارچ سوخاری
مژ,۵,"خوشششششششششمزه
دمتون گرم همه سیب۳۶۰",پیتزا سبزیجات (ایتالیایی)
مینا,۱,برخلاف اینکه پپرونی باید تند باشه یا حداقل طعم معمولی داشته باشه بسیار شیرین و پر از ادویه بوداصلا راضب نبودم,پیتزا پپرونی (ایتالیایی)
شقایق,۴,هیچ کدام از سفارش ها داخل پلاستیک نبود دونه دونه دستم دادن,استرامبولی استراچیکن
سوگند,۱,من همیشه از شعبات دیگه میگرفتم و راضی بودم. لاهماجون همش ریخته بود و بوی بدی میداد، خیلی خیلی بد. و همه جارو روغنی کرد. نون سیر هم مزه خمیر میداد. خیلی بد بود انتظار نداشتم,لاهماجون تند
ارزو,۵,مثل همیشه عالی به موقع دریافت کردم فقط کاش نون پیتزاها شیرین نبود,پیتزا پپرونی (ایتالیایی)
مژگان,۵,همیشه خوبه ، ولی امشب پیرونی فوق العاده  بود،,نان سیر
ریحانه,۵,بسیار خوشمزه و داغ رسید ممنون,پیتزا چیکن گورمه (ایتالیایی)
دانیال,۵,خوب بود فقط سرد به دستم رسیده بود,پیتزا پپرونی (ایتالیایی)
نگین,۵,توی فودپارتی سفارش دادم برای همین راضی بودم از قیمت,نوشابه قوطی کوکا کولا
پگاه,۵,خیلی لذیذ و پر پنیر و خوشمزه و عالی بود,پیتزا مارگاریتا (آمریکایی)
نگین,۳,خوشمزه هست ولی قیمت به نسبت رستوران های دیگه بالاست بنظرم اگه توی فودپارتی باشه ارزش داره,پیتزا چانو (ایتالیایی)
فرناز,۱,قارچ سوخاری بسیار شور بود,پاپ فرایز
امیر,۳,غذا بسیار سرد بود,پیتزا توکیو (آمریکایی)
مجید,۴,به نظرم ۱مقداری کیفیت اومده پایین,هات کمبو
علی,۳,نون پیتزا شیرین بود,پیتزا پپرونی (ایتالیایی)
حامد,۵,خیلی خوشمزه,پیتزا چیکن گورمه (ایتالیایی)
نرگس,۵,با اينكه درخواستهاي زيادي براي تحويل سفارش ثبت كرده بودم، تمامي موارد لحاظ شده بود هم از ساعت تحويل و هم روش بسته بندي و ... موفق و مويد باشيد,سیب زمینی پنیر ویژه
خانم,۳,نسبت به قبل یکم کیفیت پایین اومده,پیتزا مونترال (آمریکایی)
arefe,۵,پیتزا کمی تند بود ولی خوشمزه و عالی بود,پیتزا میکس کالزون (آمریکایی)
حجت,۵,ممنون.امیدوارم همیشه کیفیت همین باشه,استرامبولی استرا رست
Elahe,۵,ممنون از سیب بخاطر کیفیت خوبش,استرامبولی استرا رست
م,۳,نوشیدنی های فلزی و سالاد ها سر و ته و در هم بر هم، داخل یک پلاستیک ریخته شده بود  کیفیت معمولی قیمت بالا,ماشروم برگر
حامد,۵,بسیار خوشمزه ولی قیمتش نسبت به حجم متناسب نیست به نظرم,لاهماجون نرمال
رامین,۲,چند سالی بود از سیب ۳۶۰ سفارش نداده بودم. نسبت به قدیم افت کیفیت شدیدی داشت. یه غذای خیلی خیلی معمولی بود، فقط بد نبود. بیش از حد معمولی و صرفا چرب و چیلی بود.,پیتزا میکس (آمریکایی)
رسول,۳,تو باکت در بسته نبود,استرامبولی استراپستو
فاطمه,۵,خوشمزه بود واقعاااا حجمش هم خوب بود نسبت ب جاهای دگ,استرامبولی استرا بیف
فاطمه,۵,راضی هستم متشکر,پیتزا سبزیجات (آمریکایی)
علی,۵,ممنون از پیتزاهای خوشمرتون,پیتزا میکس کالزون (آمریکایی)
فردین,۴,کیفیته خوبی دارن، اما حجم کمی داره و نسبت به قیمت خوب نیست,پیتزا گوشت و قارچ (آمریکایی)
Shabnam,۱,به شدت بی کیفیت بود,پیتزا میکس (آمریکایی)
سارا,۵,مثل همیشه بی نظیر,پیتزا پپرونی (ایتالیایی)
سارا,۵,بی نظیر خوشمزه خوشمزه قشنگ هوس میکنی,پیتزا پپرونی (ایتالیایی)
شکوفه,۱,غذای شور و له و افتضاح,سوپر برگر (پرسی)
زهرا,۳,پیتزا چرب بود,پیتزا چهارفصل (ایتالیایی)
هدیه,۵,استرامبولی های سیب ۳۶۰ خیلی خوشمزه س. قیمتشم به نسبت مناسبه. فقط یه خورده سرد به دستمون رسید.,استرامبولی استراجین
زینب,۲,لطفا به توضیحات توجه کنید,پیتزا بیکن (ایتالیایی)
نسیم,۳,مواد روی پیتزا بسیار کم بود,پیتزا آفریکانا (آمریکایی)
